house_score,value_tier,price_value,predicted_price,pricing_gap_pct,investment_opportunity_score,undervalued_flag,beds,baths,lot_size_sqft,latitude,longitude,luxury_score,amenities_score
18.27,Mid-Range,424900,608497.3183430169,0.4320953597152669,6.407149092132486,1,3,2.0,1895556960.0,33.8068995,-112.0484288,0,3
16.27,Mid-Range,399900,572295.1932962091,0.4310957571798177,6.392325405587041,1,3,2.0,8610.0,28.0182161,-82.5754786,0,2
8.96,Budget,119000,169750.2590165404,0.4264727648448773,6.323768367319466,1,3,1.0,4965.0,41.4649995,-81.5765208,0,1
31.28,Premium,950000,1353458.6187688091,0.42469328291453595,6.297379396290285,1,7,6.0,1221945120.0,39.0808719,-77.0123254,1,2
13.25,Budget,255000,362556.93454316526,0.42179190016927554,6.254353106501237,1,3,3.0,3951.0,38.0914733,-85.8853375,0,2
22.36,Premium,339900,482820.98200724606,0.4204794998742161,6.23489076031244,1,6,2.0,9583.0,44.9707592,-93.0796065,0,1
9.98,Budget,99000,140440.82137266477,0.4185941552794421,6.206931890349669,1,3,2.0,4599.0,41.589037,-81.5539543,0,2
13.75,Mid-Range,275000,389958.2075801709,0.41802984574607593,6.198563416540758,1,2,2.0,6250.0,28.0260408,-82.4705176,0,2
10.45,Budget,439999,622544.9759463542,0.41487816096480723,6.151825252489799,1,3,2.0,3600.0,25.8324385,-80.2274703,0,0
8.29,Budget,140000,197813.6035873024,0.41295431133787436,6.123295369042265,1,1,1.0,6534.0,38.0417078,-84.4953505,0,0
28.54,Premium,380000,536000.1953746568,0.4105268299333074,6.087296837465884,1,1,1.0,6534.0,25.7735346,-80.190721,3,3
